product_id,product_name,brand,category,aisle_no
3001,Zeera,National,Herbs & spices,1
3002,Haldi,Shan,Herbs & spices,1
3003,Laal Mirch,Mehran,Herbs & spices,1
3004,Basmati Rice,Guard,grains & pulses,2
3005,Masoor Dal,Fauji,grains & pulses,2
3006,Chana Dal,Sabroso,grains & pulses,2
3007,Cornflakes,Kellogg's,Breakfast,3
3008,Paratha,Dawn,Breakfast,3
3009,Bread,Bake Parlour,Breakfast,3
3010,White Sugar,Sufi,Sugar & sweeteners,4
3011,Brown Sugar,Shakarganj,Sugar & sweeteners,4
3012,Honey,Marhaba,Sugar & sweeteners,4
3013,Macaroni,Knorr,Pasta & noodles,5
3014,Spaghetti,Young's,Pasta & noodles,5
3015,Instant Noodles,Maggi,Pasta & noodles,5
3016,Shampoo,Sunsilk,Personal Care,6
3017,Toothpaste,Colgate,Personal Care,6
3018,Soap,Lux,Personal Care,6
3019,Floor Cleaner,Dettol,Household cleaning,7
3020,Toilet Cleaner,Harpic,Household cleaning,7
3021,Dish Soap,Max,Household cleaning,7
3022,Tomato Ketchup,Mitchell's,Sauces & Chutneys,8
3023,Imli Chutney,National,Sauces & Chutneys,8
3024,Green Chutney,Shan,Sauces & Chutneys,8
3025,Cooking Oil,Dalda,oils & fats,9
3026,Ghee,Habib,oils & fats,9
3027,Olive Oil,Sufi,oils & fats,9
3028,Tea Bags,Lipton,Tea & Coffee,10
3029,Green Tea,Tapal,Tea & Coffee,10
3030,Instant Coffee,Nescafe,Tea & Coffee,10
3031,Chips,Lays,Snacks,11
3032,Nimco,Kolson,Snacks,11
3033,Chocolate,Candyland,Snacks,11
3034,Dog Food,Pedigree,Pet food,12
3035,Cat Food,Whiskas,Pet food,12
3036,Bird Seeds,Generic,Pet food,12
3037,Diapers,Canbebe,Baby Care,13
3038,Baby Lotion,Johnson's,Baby Care,13
3039,Baby Shampoo,Pampers,Baby Care,13
3040,Toilet Paper,Rose Petal,Paper products,14
3041,Tissue Box,Premier,Paper products,14
3042,Paper Towels,Fine,Paper products,14
3043,Apple,Local,Fruits & Vegetables,15
3044,Potato,Local,Fruits & Vegetables,15
3045,Carrot,Local,Fruits & Vegetables,15
3046,Bun,Bread & Beyond,Bakery,16
3047,Cake,Layers,Bakery,16
3048,Croissant,Delizia,Bakery,16
3049,Chicken,K&N's,Meat & poultry,17
3050,Mutton,Local,Meat & poultry,17
3051,Beef,Local,Meat & poultry,17
3052,Shrimp,Local,Sea food,18
3053,Rohu Fish,Local,Sea food,18
3054,Crab,Local,Sea food,18
3055,Frozen Paratha,Dawn,Frozen food,19
3056,Frozen Nuggets,K&N's,Frozen food,19
3057,Frozen Fries,McCain,Frozen food,19
3058,Cola,Pepsi,Beverages,20
3059,Juice,Nestle Fruita Vitals,Beverages,20
3060,Energy Drink,Sting,Beverages,20
3061,Zeera 1,National,Herbs & spices,1
3062,Haldi 1,Shan,Herbs & spices,1
3063,Laal Mirch 1,Mehran,Herbs & spices,1
3064,Basmati Rice 1,Guard,grains & pulses,2
3065,Masoor Dal 1,Fauji,grains & pulses,2
3066,Chana Dal 1,Sabroso,grains & pulses,2
3067,Cornflakes 1,Kellogg's,Breakfast,3
3068,Paratha 1,Dawn,Breakfast,3
3069,Bread 1,Bake Parlour,Breakfast,3
3070,White Sugar 1,Sufi,Sugar & sweeteners,4
3071,Brown Sugar 1,Shakarganj,Sugar & sweeteners,4
3072,Honey 1,Marhaba,Sugar & sweeteners,4
3073,Macaroni 1,Knorr,Pasta & noodles,5
3074,Spaghetti 1,Young's,Pasta & noodles,5
3075,Instant Noodles 1,Maggi,Pasta & noodles,5
3076,Shampoo 1,Sunsilk,Personal Care,6
3077,Toothpaste 1,Colgate,Personal Care,6
3078,Soap 1,Lux,Personal Care,6
3079,Floor Cleaner 1,Dettol,Household cleaning,7
